Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg
FLASH_CNT,0,0,2,0,1,16,TRUE,FALSE,FALSE,0,,FALSE
SUPPLY_OUT,0,2,2,0,0.002417582,12,TRUE,FALSE,FALSE,0,,FALSE
XGYRO_OUT,0,4,2,0,0.049996211,14,TRUE,FALSE,TRUE,0,,FALSE
YGYRO_OUT,0,6,2,0,0.049996211,14,TRUE,FALSE,TRUE,0,,FALSE
ZGYRO_OUT,0,8,2,0,0.049996211,14,TRUE,FALSE,TRUE,0,,FALSE
XACCL_OUT,0,10,2,0,0.003330003,14,TRUE,FALSE,TRUE,0,,FALSE
YACCL_OUT,0,12,2,0,0.003330003,14,TRUE,FALSE,TRUE,0,,FALSE
ZACCL_OUT,0,14,2,0,0.003330003,14,TRUE,FALSE,TRUE,0,,FALSE
XMAGN_OUT,0,16,2,0,0.5,14,TRUE,FALSE,TRUE,0,,FALSE
YMAGN_OUT,0,18,2,0,0.5,14,TRUE,FALSE,TRUE,0,,FALSE
ZMAGN_OUT,0,20,2,0,0.5,14,TRUE,FALSE,TRUE,0,,FALSE
BARO_OUT,0,22,2,0,0.08,14,TRUE,FALSE,FALSE,0,,FALSE
BARO_OUTL,0,24,1,0,0.0003125,8,TRUE,FALSE,FALSE,0,,FALSE
TEMP_OUT,0,26,2,-25,0.1357,12,TRUE,FALSE,TRUE,0,,FALSE
AUX_ADC,0,28,2,0,0.000806,12,TRUE,FALSE,FALSE,0,,FALSE
XGYRO_OFF,0,30,2,0,0.012499053,13,TRUE,TRUE,TRUE,0,,FALSE
YGYRO_OFF,0,32,2,0,0.012499053,13,TRUE,TRUE,TRUE,0,,FALSE
ZGYRO_OFF,0,34,2,0,0.012499053,13,TRUE,TRUE,TRUE,0,,FALSE
XACCL_OFF,0,36,2,0,0.003330003,12,TRUE,TRUE,TRUE,0,,FALSE
YACCL_OFF,0,38,2,0,0.003330003,12,TRUE,TRUE,TRUE,0,,FALSE
ZACCL_OFF,0,40,2,0,0.003330003,12,TRUE,TRUE,TRUE,0,,FALSE
XMAGN_HIC,0,42,2,0,0.0005,14,TRUE,TRUE,TRUE,0,,FALSE
YMAGN_HIC,0,44,2,0,0.0005,14,TRUE,TRUE,TRUE,0,,FALSE
ZMAGN_HIC,0,46,2,0,0.0005,14,TRUE,TRUE,TRUE,0,,FALSE
XMAGN_SIC,0,48,2,0,0.048828125,12,TRUE,TRUE,FALSE,0,,FALSE
YMAGN_SIC,0,50,2,0,0.048828125,12,TRUE,TRUE,FALSE,0,,FALSE
ZMAGN_SIC,0,52,2,0,0.048828125,12,TRUE,TRUE,FALSE,0,,FALSE
GPIO_CTRL,0,54,2,0,1,12,TRUE,TRUE,FALSE,0,,FALSE
MSC_CTRL,0,56,2,0,1,12,TRUE,TRUE,FALSE,0,,FALSE
SMPL_PRD,0,58,2,0,1,8,TRUE,TRUE,FALSE,0,,FALSE
SENS_AVG,0,60,2,0,1,11,TRUE,TRUE,FALSE,0,,FALSE
SLP_CTRL,0,62,1,0,1,8,TRUE,TRUE,FALSE,0,,FALSE
DIAG_STAT,0,64,2,0,1,16,TRUE,FALSE,FALSE,0,,FALSE
GLOB_CMD,0,66,1,0,1,8,FALSE,TRUE,FALSE,0,,FALSE
ALM_MAG1,0,68,2,0,1,16,TRUE,TRUE,FALSE,0,,FALSE
ALM_MAG2,0,70,2,0,1,16,TRUE,TRUE,FALSE,0,,FALSE
ALM_SMPL1,0,72,2,0,1,8,TRUE,TRUE,FALSE,0,,FALSE
ALM_SMPL2,0,74,2,0,1,8,TRUE,TRUE,FALSE,0,,FALSE
ALM_CTRL,0,76,2,0,1,16,TRUE,TRUE,FALSE,0,,FALSE
AUX_DAC,0,78,2,0,1,12,TRUE,TRUE,FALSE,0,,FALSE
LOT_ID1,0,82,2,0,1,16,TRUE,FALSE,FALSE,0,,FALSE
LOT_ID2,0,84,2,0,1,16,TRUE,FALSE,FALSE,0,,FALSE
PROD_ID,0,86,2,0,1,16,TRUE,FALSE,FALSE,0,,FALSE
