Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,CalReg,FLOAT
SOFT_IRON_S13,2,50,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S21,2,52,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S22,2,54,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S23,2,56,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S31,2,58,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S32,2,60,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S33,2,62,2,0,1,16,1,1,1,0,,0,FALSE
BR_BIAS_LOW,2,64,4,0,6.10E-07,32,1,1,1,0,,0,FALSE
BR_BIAS_HIGH,2,66,2,0,0.04,16,1,1,1,0,,0,FALSE
USER_SCR_1,2,116,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_2,2,118,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_3,2,120,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_4,2,122,2,0,1,16,1,1,0,0,,0,FALSE
FLSHCNT_LOW,2,124,2,0,1,16,1,0,0,0,,0,FALSE
FLSHCNT_HIGH,2,126,2,0,1,16,1,0,0,0,,0,FALSE
PAGE_ID,3,0,2,0,1,16,1,1,0,0,,0,FALSE
GLOB_CMD,3,2,2,0,1,16,0,1,0,0,,0,FALSE
FNCTIO_CTRL,3,6,2,0,1,16,1,1,0,0,0,0,FALSE
GPIO_CTRL,3,8,2,0,1,16,1,1,0,0,,0,FALSE
CONFIG,3,10,2,0,1,16,1,1,0,0,195,0,FALSE
DEC_RATE,3,12,2,0,1,16,1,1,0,0,0,0,FALSE
NULL_CNFG,3,14,2,0,1,16,1,1,0,0,0,0,FALSE
SLP_CNT,3,16,2,0,1,16,1,1,0,0,0,0,FALSE
FILTR_BNK_0,3,22,2,0,1,16,1,1,0,0,0,0,FALSE
FILTR_BNK_1,3,24,2,0,1,16,1,1,0,0,0,0,FALSE
ALM_CNFG_0,3,32,2,0,1,16,1,1,0,0,0,0,FALSE
ALM_CNFG_1,3,34,2,0,1,16,1,1,0,0,0,0,FALSE
ALM_CNFG_2,3,36,2,0,1,16,1,1,0,0,0,0,FALSE
XG_ALM_MAGN,3,40,2,0,1,16,1,1,1,0,0,0,FALSE
YG_ALM_MAGN,3,42,2,0,1,16,1,1,1,0,0,0,FALSE
ZG_ALM_MAGN,3,44,2,0,1,16,1,1,1,0,0,0,FALSE
XA_ALM_MAGN,3,46,2,0,1,16,1,1,1,0,0,0,FALSE
YA_ALM_MAGN,3,48,2,0,1,16,1,1,1,0,0,0,FALSE
ZA_ALM_MAGN,3,50,2,0,1,16,1,1,1,0,0,0,FALSE
XM_ALM_MAGN,3,52,2,0,1,16,1,1,1,0,0,0,FALSE
YM_ALM_MAGN,3,54,2,0,1,16,1,1,1,0,0,0,FALSE
ZM_ALM_MAGN,3,56,2,0,1,16,1,1,1,0,0,0,FALSE
BR_ALM_MAGN,3,58,2,0,1,16,1,1,1,0,0,0,FALSE
FIRM_REV,3,120,2,0,1,16,1,0,0,1,,0,FALSE
FIRM_DM,3,122,2,0,1,16,1,0,0,1,,0,FALSE
FIRM_Y,3,124,2,0,1,16,1,0,0,1,,0,FALSE
SERIAL_NUM,4,32,2,0,1,16,1,1,0,1,,0,FALSE
PAGE,5,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKA_C0,5,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C1,5,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C2,5,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C3,5,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C4,5,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C5,5,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C6,5,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C7,5,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C8,5,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C9,5,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C10,5,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C11,5,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C12,5,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C13,5,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C14,5,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C15,5,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C16,5,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C17,5,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C18,5,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C19,5,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C20,5,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C21,5,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C22,5,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C23,5,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C24,5,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C25,5,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C26,5,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C27,5,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C28,5,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C29,5,66,2,0,1,16,1,1,1,0,,0,TRUE
