Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg
FLASH_CNT,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
SUPPLY_OUT,0,2,2,0,0.0001526,16,TRUE,FALSE,FALSE,FALSE,,FALSE
XACCL_OUT,0,4,2,0,0.000061,16,TRUE,FALSE,TRUE,FALSE,,FALSE
YACCL_OUT,0,6,2,0,0.000061,16,TRUE,FALSE,TRUE,FALSE,,FALSE
ZACCL_OUT,0,8,2,0,0.000061,16,TRUE,FALSE,TRUE,FALSE,,FALSE
TEMP_OUT,0,10,2,-625.57,-0.47,16,TRUE,FALSE,FALSE,FALSE,,FALSE
XINCL_OUT,0,12,2,0,0.0055,16,TRUE,FALSE,TRUE,FALSE,,FALSE
YINCL_OUT,0,14,2,0,0.0055,16,TRUE,FALSE,TRUE,FALSE,,FALSE
ZINCL_OUT,0,16,2,0,0.0055,16,TRUE,FALSE,TRUE,FALSE,,FALSE
X_ACC_NULL,0,18,2,0,0.000061,16,TRUE,TRUE,TRUE,FALSE,0,TRUE
Y_ACC_NULL,0,20,2,0,0.000061,16,TRUE,TRUE,TRUE,FALSE,0,TRUE
Z_ACC_NULL,0,22,2,0,0.000061,16,TRUE,TRUE,TRUE,FALSE,0,TRUE
XALIGN_REF,0,24,2,0,0.000061,16,TRUE,FALSE,TRUE,FALSE,0,TRUE
YALIGN_REF,0,26,2,0,0.000061,16,TRUE,FALSE,TRUE,FALSE,0,TRUE
ZALIGN_REF,0,28,2,0,0.000061,16,TRUE,FALSE,TRUE,FALSE,0,TRUE
ALM_MAG_X,0,32,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_MAG_Y,0,34,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_MAG_Z,0,36,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_MAG_S,0,38,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_SMPL_X,0,40,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_SMPL_Y,0,42,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_SMPL_Z,0,44,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
ALM_CTRL,0,46,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
GPIO_CTRL,0,50,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
MSC_CTRL,0,52,2,0,1,16,TRUE,TRUE,FALSE,FALSE,2,FALSE
DIO_CTRL,0,54,2,0,1,16,TRUE,TRUE,FALSE,FALSE,7,FALSE
AVG_CNT,0,56,2,0,1,16,TRUE,TRUE,FALSE,FALSE,9,FALSE
SLP_CNT,0,58,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
DIAG_STAT,0,60,2,0,1,16,TRUE,FALSE,FALSE,FALSE,0,FALSE
GLOB_CMD,0,62,2,0,1,16,FALSE,TRUE,FALSE,FALSE,,FALSE
LOT_ID1,0,82,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
LOT_ID2,0,84,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
PROD_ID,0,86,2,0,1,16,TRUE,FALSE,FALSE,FALSE,16210,FALSE
SERIAL_NUM,0,88,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
X_NULL_BIAS,0,112,2,0,0.000061,16,TRUE,TRUE,TRUE,FALSE,,FALSE
Y_NULL_BIAS,0,114,2,0,0.000061,16,TRUE,TRUE,TRUE,FALSE,,FALSE
Z_NULL_BIAS,0,116,2,0,0.000061,16,TRUE,TRUE,TRUE,FALSE,,FALSE
